year,total_btu,full_source
1999,4758,"Hydroelectric, Industrial"
1999,10,"Solar, Industrial"
1999,0,"Wind, Industrial"
1999,32,"Solar, Residential"
2000,99,"Hydroelectric, Commercial"
2000,53,"Solar, Commercial"
2000,0,"Wind, Commercial"
2000,14093,"Geothermal, Electric Utility"
2000,271339,"Hydroelectric, Electric Utility"
2000,493,"Solar, Electric Utility"
2000,5594,"Wind, Electric Utility"
2000,4136,"Hydroelectric, Industrial"
2000,11,"Solar, Industrial"
2000,0,"Wind, Industrial"
2000,36,"Solar, Residential"
2001,67,"Hydroelectric, Commercial"
2001,65,"Solar, Commercial"
2001,0,"Wind, Commercial"
2001,13741,"Geothermal, Electric Utility"
2001,213749,"Hydroelectric, Electric Utility"
2001,542,"Solar, Electric Utility"
2001,6739,"Wind, Electric Utility"
2001,3145,"Hydroelectric, Industrial"
2001,14,"Solar, Industrial"
2001,0,"Wind, Industrial"
2001,45,"Solar, Residential"
2002,12,"Hydroelectric, Commercial"
2002,78,"Solar, Commercial"
2002,0,"Wind, Commercial"
2002,14492,"Geothermal, Electric Utility"
2002,260492,"Hydroelectric, Electric Utility"
2002,554,"Solar, Electric Utility"
2002,10355,"Wind, Electric Utility"
2002,3825,"Hydroelectric, Industrial"
2002,16,"Solar, Industrial"
2002,0,"Wind, Industrial"
2002,54,"Solar, Residential"
2003,72,"Hydroelectric, Commercial"
2003,92,"Solar, Commercial"
2003,0,"Wind, Commercial"
2003,14424,"Geothermal, Electric Utility"
2003,271512,"Hydroelectric, Electric Utility"
2003,534,"Solar, Electric Utility"
2003,11189,"Wind, Electric Utility"
2003,4222,"Hydroelectric, Industrial"
2003,18,"Solar, Industrial"
2003,0,"Wind, Industrial"
2003,64,"Solar, Residential"
2004,105,"Hydroelectric, Commercial"
2004,112,"Solar, Commercial"
2004,0,"Wind, Commercial"
2004,14811,"Geothermal, Electric Utility"
2004,265065,"Hydroelectric, Electric Utility"
2004,575,"Solar, Electric Utility"
2004,14144,"Wind, Electric Utility"
2004,3249,"Hydroelectric, Industrial"
2004,23,"Solar, Industrial"
2004,0,"Wind, Industrial"
2004,78,"Solar, Residential"
2005,85,"Hydroelectric, Commercial"
2005,168,"Solar, Commercial"
2005,0,"Wind, Commercial"
2005,14693,"Geothermal, Electric Utility"
2005,267037,"Hydroelectric, Electric Utility"
2005,551,"Solar, Electric Utility"
2005,17809,"Wind, Electric Utility"
2005,3196,"Hydroelectric, Industrial"
2005,36,"Solar, Industrial"
2005,0,"Wind, Industrial"
2005,119,"Solar, Residential"
2006,93,"Hydroelectric, Commercial"
2006,250,"Solar, Commercial"
2006,0,"Wind, Commercial"
2006,14568,"Geothermal, Electric Utility"
2006,286253,"Hydroelectric, Electric Utility"
2006,508,"Solar, Electric Utility"
2006,26590,"Wind, Electric Utility"
2006,2897,"Hydroelectric, Industrial"
2006,55,"Solar, Industrial"
2006,0,"Wind, Industrial"
2006,176,"Solar, Residential"
2007,77,"Hydroelectric, Commercial"
2007,353,"Solar, Commercial"
2007,0,"Wind, Commercial"
2007,14638,"Geothermal, Electric Utility"
2007,245842,"Hydroelectric, Electric Utility"
2007,612,"Solar, Electric Utility"
2007,34451,"Wind, Electric Utility"
2007,1591,"Hydroelectric, Industrial"
2007,78,"Solar, Industrial"
2007,0,"Wind, Industrial"
2007,248,"Solar, Residential"
2008,61,"Hydroelectric, Commercial"
2008,570,"Solar, Commercial"
2008,0,"Wind, Commercial"
2008,14840,"Geothermal, Electric Utility"
2008,253097,"Hydroelectric, Electric Utility"
2008,864,"Solar, Electric Utility"
2008,55361,"Wind, Electric Utility"
2008,1676,"Hydroelectric, Industrial"
2008,126,"Solar, Industrial"
2008,0,"Wind, Industrial"
2008,398,"Solar, Residential"
2009,70,"Hydroelectric, Commercial"
2009,767,"Solar, Commercial"
2009,0,"Wind, Commercial"
2009,15009,"Geothermal, Electric Utility"
2009,271506,"Hydroelectric, Electric Utility"
2009,891,"Solar, Electric Utility"
2009,73887,"Wind, Electric Utility"
2009,1869,"Hydroelectric, Industrial"
